@relation 'T3HumanAgent-weka.filters.unsupervised.attribute.Remove-R1-363,370-373,375-387-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B5-M-1.0-Rfirst-last'

@attribute marioStatus {'\'All\''}
@attribute marioMode {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute isMarioOnGround {1,0}
@attribute isMarioAbleToJump {1,0}
@attribute isMarioAbleToShoot {1,0}
@attribute isMarioCarrying {1,0}
@attribute timeLeft {'\'(-inf-144.4]\'','\'(144.4-157.8]\'','\'(157.8-171.2]\'','\'(171.2-184.6]\'','\'(184.6-inf)\''}
@attribute reward {'\'(-inf-334.6]\'','\'(334.6-702.2]\'','\'(702.2-1069.8]\'','\'(1069.8-1437.4]\'','\'(1437.4-inf)\''}
@attribute coins {'\'(-inf-6.8]\'','\'(6.8-13.6]\'','\'(13.6-20.4]\'','\'(20.4-27.2]\'','\'(27.2-inf)\''}
@attribute bricks {'\'(-inf-5.2]\'','\'(5.2-10.4]\'','\'(10.4-15.6]\'','\'(15.6-20.8]\'','\'(20.8-inf)\''}
@attribute enemys {'\'(-inf-1.2]\'','\'(1.2-2.4]\'','\'(2.4-3.6]\'','\'(3.6-4.8]\'','\'(4.8-inf)\''}
@attribute action0 {true,false}
@attribute action1 {true,false}
@attribute action2 {true,false}
@attribute action3 {true,false}
@attribute action4 {true,false}
@attribute action5 {true,false}
@attribute coins_6 {'\'(-inf-1.4]\'','\'(1.4-2.8]\'','\'(2.8-4.2]\'','\'(4.2-5.6]\'','\'(5.6-inf)\''}
@attribute enemys_6 {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-inf)\''}
@attribute coins_12 {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-inf)\''}
@attribute enemys_12 {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute coins_24 {'\'(-inf-2.8]\'','\'(2.8-5.6]\'','\'(5.6-8.4]\'','\'(8.4-11.2]\'','\'(11.2-inf)\''}
@attribute enemys_24 {'\'(-inf--82.2]\'','\'(-82.2--61.4]\'','\'(-61.4--40.6]\'','\'(-40.6--19.8]\'','\'(-19.8-inf)\''}
@attribute distancePassedPhys {'\'(-inf-812.2]\'','\'(812.2-1592.4]\'','\'(1592.4-2372.6]\'','\'(2372.6-3152.8]\'','\'(3152.8-inf)\''}

@data
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',1,1,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,true,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,true,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,true,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,true,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,true,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
'\'All\'','\'(1.6-inf)\'',0,0,1,0,'\'(184.6-inf)\'','\'(-inf-334.6]\'','\'(-inf-6.8]\'','\'(-inf-5.2]\'','\'(-inf-1.2]\'',false,false,false,false,false,false,'\'(-inf-1.4]\'','\'(-inf-0.2]\'','\'(-inf-2]\'','\'(-inf-0.4]\'','\'(-inf-2.8]\'','\'(-19.8-inf)\'','\'(-inf-812.2]\''
